[2026-03-19T14:54:51.928Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:51.966Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:51.974Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:52.603Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:52.633Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:52.637Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:52.652Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:52.724Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:52.766Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:52.824Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:52.864Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:52.875Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:52.916Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:52.942Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:52.993Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:53.033Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:53.095Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:53.105Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:53.146Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.205Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:53.213Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:53.279Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:53.295Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:53.335Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:53.408Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.439Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:53.480Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:53.496Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:53.561Z] RootLayout rendered. Color: #22c55e, Role: admin
[2026-03-19T14:54:53.592Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.606Z] RootLayout rendered. Color: #22c55e, Role: waiter
[2026-03-19T14:54:53.657Z] RootLayout rendered. Color: #22c55e, Role: superadmin
[2026-03-19T14:54:53.712Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.762Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.804Z] RootLayout rendered. Color: #22c55e, Role: undefined
[2026-03-19T14:54:53.843Z] RootLayout rendered. Color: #22c55e, Role: undefined
